Name; UUID; Old Bezugsgröße; Old Bezugseinheit; Old GWP;Corrected Bezugsgröße; Corrected Bezugseinheit;Corrected GWP; Referenzfluss -Name
Brillux Evocryl 200;fab730b2-0b23-4cc8-9543-39caed1db530;1;null;1,61;1;kg;1,61;1 kg Brillux Evocryl 200 Additional Info from Xml: Brillux Evocryl 200 ist eine matte,wasserverdünnbare Reinacrylat-Fassadenfarbe. Sie ist fotokatalytisch wirksam, hoch wetterbeständig, verschmutzungsunempfindlich und CO2 diffusionsgeprüft (>50 m) nach DIN EN 1062-6. Es handelt sich um ein werkseitig hergestelltes flüssiges Gemisch mit organischem Bindemittel, mineralischen Füllstoffen, Pigmenten, Wasser und Zusatzstoffen. Die Verfestigung erfolgt durch Trocknung und Verfilmung der Polymerbindemittel. Deklarierte Einheit: Die Deklaration bezieht sich auf 1 kg Brillux Evocryl 200. Da Farben nach Volumen (Liter) verkauft werden, ist nachfolgend der Verbrauch volumenbezogen angegeben.
Brillux Glemalux ELF 1000;ebb1b66d-c4b3-4fc8-bdab-2037ec1226b2;1;null;1,27;1;kg;1,27;1 kg Brillux Glemalux ELF 1000 Additional Info from Xml: Brillux Glemalux ELF 1000 ist eine stumpfmatte, wasserdampfdiffusionsfähige, emissionsarme, lösemittel- und weichmacherfreie Innendispersionsfarbe mit hohem Deckvermögen und langer Offenzeit. Ausgezeichnet vom /TÜV SÜD/ mit dem TÜV Gütezeichen >> Emissionsarm, Schadstoffgeprüft und Produktion überwacht <<. Es handelt sich um ein werkseitig hergestelltes flüssiges Gemisch mit organischem Bindemittel, mineralischen Füllstoffen, Pigmenten, Wasser und Zusatzstoffen. Die Verfestigung erfolgt durch Trocknung und Verfilmung der Polymerbindemittel. Deklarierte Einheit: Die Deklaration bezieht sich auf 1 kg Brillux Glemalux ELF 1000. Da Farben nach Volumen (Liter) verkauft werden, ist nachfolgend der Verbrauch volumenbezogen angegeben.
Brillux Latexfarbe ELF 992;346f481f-c669-41fa-b69c-d16c7b21bd30;1;null;1,42;1;kg;1,42;1 kg Brillux Latexfarbe ELF 992 Additional Info from Xml: Brillux Latexfarbe ELF 992 ist eine seidenglänzende, gut deckende, emissionsarme, lösemittel- und weichmacherfreie Innendispersionsfarbe. Das WKI Fraunhofer-Institut hat die Desinfektionsmittelbeständigkeit in Anlehnung der /DIN EN ISO 2812-1/ attestiert. Ausgezeichnet vom /TÜV SÜD/ mit dem TÜV Gütezeichen >> Emissionsarm, Schadstoffgeprüft und Produktion überwacht <<. Es handelt sich um ein werkseitig hergestelltes flüssiges Gemisch mit organischem Bindemittel, mineralischen Füllstoffen, Pigmenten, Wasser und Zusatzstoffen. Die Verfestigung erfolgt durch Trocknung und Verfilmung der Polymerbindemittel. Deklarierte Einheit: Die Deklaration bezieht sich auf 1 kg Brillux Latexfarbe ELF 992. Da Farben nach Volumen (Liter) verkauft werden, ist nachfolgend der Verbrauch volumenbezogen angegeben.
Brillux Sensocryl ELF 266;a95d0d3b-06e9-436d-a255-1f4d2dfd2077;1;null;1,88;1;kg;1,88;1 kg Brillux Sensocryl ELF 266 Additional Info from Xml: Brillux Sensocryl ELF 266 ist eine stumpfmatte, emissionsarme, lösemittel- und weichmacherfreie Reinacrylat-Innendispersionsfarbe. Sie ist geruchsneutral, gut deckend und diffusionsfähig. Beständig gegen wässrige, nicht alkoholbasierte Desinfektionsmittel. Die Reinigungsfähigkeit ist nach /KIMW 004/ vom Kunststoff Institut Lüdenscheid auf verschiedenen Untergründen geprüft. Ausgezeichnet vom /TÜV Süd/ mit dem TÜV Gütezeichen >> Emissionsarm, Schadstoffgeprüft und Produktion überwacht <<. Es handelt sich um ein werkseitig hergestelltes flüssiges Gemisch mit organischem Bindemittel, mineralischen Füllstoffen, Pigmenten, Wasser und Zusatzstoffen. Die Verfestigung erfolgt durch Trocknung und Verfilmung des Polymerbindemittels. Deklarierte Einheit: Die Deklaration bezieht sich auf 1 kg Brillux Sensocryl ELF 266. Da Farben nach Volumen (Liter) verkauft werden, ist nachfolgend der Verbrauch volumenbezogen angegeben.
Brillux Sensocryl ELF 267;ea6b23bb-6df2-4692-8999-4b81d0a1990c;1;null;2,2;1;kg;2,2;1 kg Brillux Sensocryl ELF 267 Additional Info from Xml: Brillux Sensocryl ELF 267 ist eine seidenmatte, emissionsarme, lösemittel- und weichmacherfreie Reinacrylat-Innendispersionsfarbe. Sie ist geruchsneutral, gut deckend und diffusionsfähig. Das WKI Fraunhofer-Institut hat die Desinfektionsmittelbeständigkeit in Anlehnung der /DIN EN ISO 2812-1/ attestiert. Die Reinigungsfähigkeit ist nach /KIMW 004/ vom Kunststoff Institut Lüdenscheid auf verschiedenen Untergründen geprüft. Ausgezeichnet vom /TÜV Süd/ mit dem TÜV Gütezeichen >> Emissionsarm, Schadstoffgeprüft und Produktion überwacht <<. Es handelt sich um ein werkseitig hergestelltes flüssiges Gemisch mit organischen Bindemitteln, mineralischen Füllstoffen, Pigmenten, Wasser und Zusatzstoffen. Die Verfestigung erfolgt durch Trocknung und Verfilmung des Polymerbindemittels. Deklarierte Einheit: Die Deklaration bezieht sich auf 1 kg Brillux Sensocryl ELF 267. Da Farben nach Volumen (Liter) verkauft werden, ist nachfolgend der Verbrauch volumenbezogen angegeben.
Brillux Sensocryl ELF 268;66dd0bed-23da-474c-abc0-96fa3c36004a;1;null;2,19;1;kg;2,19;1 kg Brillux Sensocryl ELF 268 Additional Info from Xml: Brillux Sensocryl ELF 268 ist eine seidenglänzende, emissionsarme, lösemittel- und weichmacherfreie Reinacrylat-Innendispersionsfarbe. Sie ist geruchsneutral, gut deckend und diffusionsfähig. Das WKI Fraunhofer-Institut hat die Desinfektionsmittelbeständigkeit in Anlehnung der /DIN EN ISO 2812-1/ attestiert. Die Reinigungsfähigkeit ist nach /KIMW 004/ vom Kunststoff Institut Lüdenscheid auf verschiedenen Untergründen geprüft. Ausgezeichnet vom /TÜV Süd/ mit dem TÜV Gütezeichen >> Emissionsarm, Schadstoffgeprüft und Produktion überwacht <<. Es handelt sich um ein werkseitig hergestelltes flüssiges Gemisch mit organischen Bindemitteln, mineralischen Füllstoffen, Pigmenten, Wasser und Zusatzstoffen. Die Verfestigung erfolgt durch Trocknung und Verfilmung des Polymerbindemittels. Deklarierte Einheit: Die Deklaration bezieht sich auf 1 kg Brillux Sensocryl ELF 268. Da Farben nach Volumen (Liter) verkauft werden, ist nachfolgend der Verbrauch volumenbezogen angegeben.
Brillux Sensocryl ELF 269;fecc54a7-c307-47a4-9821-6d12b69ebcd7;1;null;2,07;1;kg;2,07;1 kg Brillux Sensocryl ELF 269 Additional Info from Xml: Brillux Sensocryl ELF 269 ist eine glänzende, emissionsarme, lösemittel- und weichmacherfreie Reinacrylat-Innendispersionsfarbe. Sie ist geruchsneutral, gut deckend und diffusionsfähig. Das WKI Fraunhofer-Institut hat die Desinfektionsmittelbeständigkeit in Anlehnung der /DIN EN ISO 2812-1/ attestiert. Die Reinigungsfähigkeit ist nach /KIMW 004/ vom Kunststoff Institut Lüdenscheid auf verschiedenen Untergründen geprüft. Ausgezeichnet vom /TÜV Süd/ mit dem TÜV Gütezeichen >> Emissionsarm, Schadstoffgeprüft und Produktion überwacht <<. Es handelt sich um ein werkseitig hergestelltes flüssiges Gemisch mit organischen Bindemitteln, Pigmenten, Wasser und Zusatzstoffen. Die Verfestigung erfolgt durch Trocknung und Verfilmung des Polymerbindemittels. Deklarierte Einheit: Die Deklaration bezieht sich auf 1 kg Brillux Sensocryl ELF 269. Da Farben nach Volumen (Liter) verkauft werden, ist nachfolgend der Verbrauch volumenbezogen angegeben.
Brillux Silikat-Innenfarbe ELF 1806;127e1dd6-110d-4356-83bf-e39c4b27ff2b;1;null;1,61;1;kg;1,61;1 kg Brillux Silikat-Innenfarbe ELF 1806 Additional Info from Xml: Brillux Silikat-Innenfarbe ELF 1806 ist eine stumpfmatte, emissionsarme, lösemittel- und weichmacherfreie, hoch diffusionsfähige und Allergiker (Weißfarbton) geeignete Innenwandfarbe auf Silikatbasis. Es handelt sich um ein werkseitig hergestelltes flüssiges Gemisch mit organischen und anorganischen Bindemitteln, Füllstoffen, Weißpigmenten sowie Wasser und Zusatzstoffen. Die Verfestigung erfolgt durch Trocknung (Verfilmung und Verkieselung) der Bindemittel. Deklarierte Einheit: Die Deklaration bezieht sich auf 1 kg Brillux Silikat-Innenfarbe ELF 1806. Da Farben nach Volumen (Liter) verkauft werden, ist nachfolgend der Verbrauch volumenbezogen angegeben.
Brillux Super Latex ELF 3000;ba66960b-8890-4204-9df3-4ddb48416316;1;null;1,18;1;kg;1,18;1 kg Brillux Super Latex ELF 3000 Additional Info from Xml: Brillux Super Latex ELF 3000 ist eine stumpfmatte, hoch diffusionsfähige, emissionsarme, lösemittel- und weichmacherfreie Innendispersionsfarbe mit gutem Deckvermögen und besonders langer Offenzeit. Ausgezeichnet vom /TÜV Süd/ mit dem TÜV Gütezeichen >> Emissionsarm, Schadstoffgeprüft und Produktion überwacht <<. Es handelt sich um ein werkseitig hergestelltes flüssiges Gemisch mit organischem Bindemittel, organischen und mineralischen Füllstoffen, Pigmenten, Wasser und Zusatzstoffen. Die Verfestigung erfolgt durch Trocknung und Verfilmung des Polymerbindemittels. Deklarierte Einheit: Die Deklaration bezieht sich auf 1 kg Brillux Super Latex ELF 3000. Da Farben nach Volumen (Liter) verkauft werden, ist nachfolgend der Verbrauch volumenbezogen angegeben.
CapaSilan;46f9017f-0c05-4c2c-90de-d23bbc3d3e5a;1;null;1,72;1;kg;1,72;1 kg Innenwandfarbe auf Dispersionsbasis Produkt: CapaSilan Additional Info from Xml: CapaSilan ist eine emissionsminimierte und lösemittelfreie, mineralmatte, scheuerbeständige Innenfarbe mit herausragenden Eigenschaften. CapaSilan stellt eine neue Generation von Innenfarben dar, die durch die exzellente Verarbeitbarkeit mit langer Offenzeit auch auf Flächen mit äußerst ungünstigen Lichtverhältnissen (Streiflicht) ein ansatzfreies Arbeiten ermöglicht. Bei Einhaltung der vorgegebenen Sanierungsanleitung auch als Renovierfarbe auf Akustikdeckenplatten und Akustikputzen geeignet. - emissionsminimiert und lösemittelfrei - frei von foggingaktiven Substanzen - sd-Wert < 0,1 m Nassabrieb: Klasse 1 (entspricht scheuerbeständig nach DIN 53778) Deckvermögen: Klasse 1, bei einer Ergiebigkeit von 7 m2 /l bzw. 140 ml/m2 Technische Daten: Dichte [g/cm³]                  1,45 Feststoffgehalt                55 bis 60 % pH-Wert                           8,5Weitere bautechnische Daten gemäß PCR sind für das hier deklarierte Produkt nicht relevant. Deklarierte Einheit: Die Verbands-EPD bezieht sich auf die deklarierte Einheit von 1 kg dispersionsbasierter Innenwandfarbe. Aus den Produktgruppen wurde das Produkt mit den höchsten Umweltwirkungen deklariert.Das hier deklarierte Produkt hat einen Verbrauch von 140 ml/m², dies entspricht 203 g/m².
