UUID;Version;Name;Kategorie;Typ;Bezugsgroesse;Bezugseinheit;Referenzfluss-UUID;Referenzfluss-Name;Schuettdichte (kg/m3);Flaechengewicht (kg/m2);Rohdichte (kg/m3);Schichtdicke (m);Ergiebigkeit (m2);Laengengewicht (kg/m);Umrechungsfaktor auf 1kg; A1-A3 existing; C3 existing; C4 existing; D existing;life span;Anmerkungen
4477c6ca-b728-41fb-a231-366e159a73df;20.20.020;Mineralwolle (Flachdach-Dämmung);Dämmstoffe / Mineralwolle / Mineralwolle;generic dataset;1;m3;6403d5d9-9978-4183-b140-a30ce936545e;Mineralwolle (Flachdach-Dämmung) (m3);;;145;;;;;true;true;true;false;50;
2691d6e4-a41e-40d7-92ca-680f8785fc1d;20.20.020;Mineralwolle (Boden-Dämmung);Dämmstoffe / Mineralwolle / Mineralwolle;generic dataset;1;m3;c63efd9f-61cd-4a49-a7c6-8ada4538f283;Mineralwolle (Boden-Dämmung) (m3);;;85;;;;;true;true;true;false;50;
ec17f51c-27ff-4729-977e-cd0e273c2ee3;00.03.000;ROCKWOOL Steinwolle-Dämmstoff im niedrigen Rohdichtebereich;Dämmstoffe / Mineralwolle / Steinwolle;average dataset;1;m3;95de206f-6418-fabc-1399-ebf5c8fbdf08;ROCKWOOL-Steinwolle, 39 kg/m³;;;39;;;;0,02564;true;true;true;true;50;
eca9691f-06d7-48a7-94a9-ea808e2d67e8;00.06.000;ROCKWOOL Steinwolle-Dämmstoff im mittleren Rohdichtebereich;Dämmstoffe / Mineralwolle / Steinwolle;average dataset;1;m3;a42a8b52-3051-f427-9fd3-c1553bb2fb4d;ROCKWOOL-Steinwolle;;;96;;;;0,01042;true;true;true;true;50;
b0e3aedd-a5e2-4b97-b0f3-e51548912687;00.06.000;ROCKWOOL Steinwolle-Dämmstoff im hohen Rohdichtebereich;Dämmstoffe / Mineralwolle / Steinwolle;average dataset;1;m3;3ad05202-deff-0a95-a6f9-7c0dc9b11ebe;ROCKWOOL-Steinwolle;;;155;;;;0,00645;true;true;true;true;50;
9ca6d998-da4f-42f7-a2dc-565a89134cce;00.05.000;FOAMGLAS® S3;Dämmstoffe / Schaumglas / Platten;specific dataset;1;m3;6014b18f-afdf-51da-7836-f2816b5822a8;1 kg FOAMGLAS® S3;;;130;;;;;true;false;true;true;50;
55943b94-ad62-4372-9dfc-bc50e19e52c0;00.05.000;FOAMGLAS® T4;Dämmstoffe / Schaumglas / Platten;specific dataset;1;m3;adeac8dc-45df-5c2f-dbd1-2914b76fbffc;1 kg FOAMGLAS® T4;;;115;;;;;true;false;true;true;50;
17b57de7-d929-44fd-8031-6180204aaf36;00.06.000;FOAMGLAS® W und FOAMGLAS® T3;Dämmstoffe / Schaumglas / Platten;specific dataset;1;m3;eb3c424c-97f4-ff0b-ab3e-71a64d2c9d66;1 kg FOAMGLAS® W bzw. FOAMGLAS® T3;;;100;;;;;true;false;true;true;50;
fcea6f1b-08c6-464b-b480-39bdafbd9654;00.05.000;FOAMGLAS® F;Dämmstoffe / Schaumglas / Platten;specific dataset;1;m3;9ea66fb9-c7eb-b3e7-4db1-f9d827db2cba;1 kg FOAMGLAS® F;;;165;;;;;true;false;true;true;50;
0827718f-8cb2-4f4b-8dca-ce298cac1011;00.02.000;GLAPOR Schaumglas;Dämmstoffe / Schaumglas / Platten;specific dataset;1;m3;a57dbeb4-236b-db80-c3bb-0a27821dc418;GLAPOR Schaumglas / pro m³ (120 kg/m³);;;120;;;;0,008333;true;true;true;true;50;
0b20bca2-3c09-4de7-9159-e7816feeb894;00.05.000;MISAPOR Schaumglas 10/75;Dämmstoffe / Schaumglas / Platten;specific dataset;1;m3;e01acad5-aa52-a02b-5078-191f12ebf13a;1 m³ MISAPOR Schaumglas 10/75;;;130;;;;;true;false;true;false;50;
bc96c935-cb32-4b8c-90b1-0b83b245485e;00.06.000;MISAPOR Schaumglas 10/50;Dämmstoffe / Schaumglas / Platten;specific dataset;1;m3;145b1ff0-ddb2-001f-cf54-800168ca5ca9;1 m³ MISAPOR Schaumglas 10/50;;;163;;;;;true;false;true;false;50;
ee873d85-c31c-4217-a696-7c1a05a99d17;00.04.000;Mehrschichtparkett;Holz / Holzböden / Parkett;average dataset;1;m3;b2adfda8-24f8-9358-d2ed-02b1271676a1;1 m² Mehrschichtparkett (7,31 kg) Additional Info from Xml: WEITZER PARKETT Mehrschichtparkettböden sind Holzfußböden mit Edelholznutz-schicht, die vorzugsweise auf einem Trägermaterial aus Fichte mit stehenden Jahresrin-gen kreuzweise verleimt werden. Als weiteres Trägermaterial kommt in geringerem Um-fang auch HDF (hochdichte Faserplatte) zum Einsatz. Die Abmessungen der einzelnen Parkett¬elemente sind unterschiedlich. Die Breiten der Deckschichten liegen zwischen 50 und 600 mm, die Längen liegen zwischen 360 und 7500 mm. Die Produktdicken liegen zwischen 9 mm und 18 mm. Als Edelholznutzschicht kommen fast ausschließlich heimi-sche Laubholzarten zur Anwendung, Tropenhölzer werden aus ökologischen Gründen nicht verarbeitet. Die Parkettböden weisen ja nach Bearbeitung und Oberfläche unter-schiedliche Funktionalitäten auf. Die Produkte werden daher auch als Pflegefrei-Parkett, Gesund-Parkett und Flüster-Parkett bezeichnet. Technische Daten: Nachfolgende Produktdaten stellen den Durchschnitt aller Mehrschichtparkettprodukte dar, die innerhalb eines repräsentativen Wirtschaftsjahres durch die WEITZER PARKETT GmbH gefertigt wurden. Es sind Mittelwerte, die keiner spezifischen Produktgruppe entsprechen.;;;565;;;;;true;true;false;true;50;Hartholz: 60, Weichholz: 40
88619ce6-c0aa-43bd-9ac6-477b5d6ce442;20.20.010;Stabparkett (thickness 0,015 m);Holz / Holzböden / Parkett;generic dataset;1;qm;d73b61f3-98f6-46b6-a2df-a4d15f1456f4;Parkett (Stab-);;11,5;;;;;;true;true;false;true;50;
1e86515c-3d07-4c59-8f81-84cc5fe0fca7;00.02.000;Massivholzparkett (Durchschnitt DE);Holz / Holzböden / Parkett;representative dataset;1;m3;adc9413c-c2c7-4480-9c4c-0d24dfec7698;Massivholzparkett;;11,71;665,34;0,017600024;;;;true;true;false;true;50;
74a7b85a-c028-4cf1-987e-7dfddcb9033b;20.19.120;Fünf-Schichtholzplatte;Holz / Holzwerkstoffe / 3- und 5-Schichtplatten;generic dataset;1;m3;2a5d4a64-4389-4663-b604-038866c91e03;Fünf-Schichtholzplatte (m3);;;472;;;;;true;true;false;true;100;Tragkonstruktion außen, Hartholz bekleidet
41a60838-5c4e-4dbb-8a36-16cfc8fba26f;20.19.120;Drei-Schichtholzplatte;Holz / Holzwerkstoffe / 3- und 5-Schichtplatten;generic dataset;1;m3;6941186f-045d-4d9c-b36d-231797360a8a;Three-Layer panels m3;;;472;;;;;true;true;false;true;100;
6f6fdc0b-4163-4f99-92cb-7b9e3008bae4;00.02.000;3- und 5-Schicht Massivholzplatte (Durchschnitt DE);Holz / Holzwerkstoffe / 3- und 5-Schichtplatten;representative dataset;1;m3;4e1beb5b-f059-4aa9-b12a-4462eb1fa606;3- und 5 Schichtplatte;;;510,45;;;;;true;true;false;true;100;
b50f7b36-d9aa-40c5-b839-4925a1500952;20.19.120;Furnierschichtholz;Holz / Holzwerkstoffe / Funierschichtholz;generic dataset;1;m3;e7593ff5-4edb-4224-9bca-952ab95034e1;Furnierschichtholz (m3);;;465,7;;;;;true;true;false;true;50;keine andere Info vorhanden
ac3fb66d-bfd1-4e97-b63b-f8f4da17fbdf;00.04.000;MDF beschichtet;Holz / Holzwerkstoffe / Holzfaserplatten;specific dataset;1;m3;51d52f90-4733-f4fd-5527-4edbf1b87b75;1 m² MDF Platte beschichtet Additional Info from Xml: Herstellung der Rohplatten: 1. Entrindung der Stämme 2. Zerspanung des Holzes zu Spänen 3. Kochen der Späne 4. Zerfaserung im Refiner 5. Trockung der Fasern auf ca. 2-3% Restfeuchte 6. Beleimung der Fasern mit Harzen 7. Streuung der beleimten Fasern auf ein Formband 8. Verpressen der Fasermatte in einer kontinuierlich arbeitenden Heißpresse 9. Aufteilen und Besäumen des Faserstranges zu Rohplattenformaten 10. Auskühlen der Rohplatten in Sternkühlwendern 11. Abstapelung zu Großstapeln 12. Nach Klimatisierungsphase Schleifen der Oberund Unterseite Herstellung der Imprägnate: 1. Abwicklung der Rohpapiere 2. Aufnahme von Imprägnierharz (MUF) in der Anlage 3. Trocknung des imprägnierten Papiers in beheizten Trocknern 4. Formatierung des endlosen Papiers mittels Querschneider 5. Abstapelung der formatierten Bögen auf Paletten Herstellung der beschichteten MDF Platten: 1. Legung der Imprägnate auf die Ober- und Unterseite der Rohplatte 2. Verpressung der Platte in der Heißpresse mit verschieden strukturierten Pressblechen / -bändern 3. Qualitätssortierung und Abstapelung 4. Klimatisierungsphase von bis zu 14 Tagen Alle während der Produktion anfallenden Reste (Besäum-, Schneid- und Fräsreste) werden ausnahmslos einer thermischen Verwertung zugeführt. Technische Daten: Technische Daten für EGGER MDF-ST E1CE Deklarierte Einheit: Die Deklaration bezieht sich auf die Herstellung von  1 m² beschichteter MDF Platte mit einer durchschnittlichen Dicke von 11,7 mm und einem Flächengewicht von 12,7 kg/m².;;;700;;;;;true;true;false;true;50;
6e578da4-f52f-440c-87b9-a4ba2344b426;00.02.000;Hochdichte Faserplatte (Durchschnitt DE);Holz / Holzwerkstoffe / Holzfaserplatten;representative dataset;1;m3;489c5610-fe77-451b-a82e-daba698ef22b;HDF (849,9 kg/m³);;;849,92;;;;;true;true;false;true;50;
e5141109-efd6-4fbc-a850-53a48ad30f18;00.02.000;Mitteldichte Faserplatte (Durchschnitt DE);Holz / Holzwerkstoffe / Holzfaserplatten;representative dataset;1;m3;db80b824-b32d-439d-a020-da031f802805;MDF (737,5 kg/m³);;;737,5;;;;;true;true;false;true;50;
83be43f7-6ab2-4b99-b7b3-b856501e9221;00.03.000;Rohe und beschichtete MDF und HDF Holzfaserplatten;Holz / Holzwerkstoffe / Holzfaserplatten;average dataset;1;m3;03fffd9b-4dc4-aa0a-83d4-2682bf8c3573;MDF und HDF Platte, Roh und beschichtet;;;810;;;;0,00123;true;true;false;true;50;
426b030a-5e6d-4ed6-b117-e8b01bc3e890;00.06.000;SWISS KRONO OSB;Holz / Holzwerkstoffe / OSB-Platte;specific dataset;1;m3;6ad86346-7cdb-2def-f850-0e1e440fb350;1 m³ OSB Platte (617 kg) Additional Info from Xml: OSB-Platten (Oriented Strand Board – Kronoply/ Kronopol OSB) sind klebstoffgebundene, dreischichtig aufgebaute Holzwerkstoffplatten (Flachpressplatten) aus orientiert gestreuten, länglichen Holzspänen (120 - 160 mm lange Kiefernholz Furnierstreifen), sog. Strands gemäß /EN13986/ bzw. /EN 300/ „OSB“. „Strands“ aus einer definierten Dicke und Form, vornehmlich aus Rundhölzern, werden in mehreren Schichten verleimt. Die Orientierung der Mittelschicht erfolgt dabei im 90° Winkel zu den Deckschichten. Die OSB-Platten werden mit einem PMDI-Harz verleimt und in Dicken von 8 bis 40 mm herge­stellt. Für die schwer entflammbare Kronoply OSB/SF-B wird ein Flammschutzmittel zugesetzt. Alle relevanten Hintergrund-Datensätze wurden der Datenbank der Software /GaBi 6/ (GABI 6 2013)entnommen. Deklarierte Einheit: Die Deklaration bezieht sich auf die Herstellung von 1m³ OSB Platte mit einem Gewicht von 617 kg/m³.;;;617;;;;0,0016;true;true;false;true;50;
e71b8242-eda8-408a-9ff8-37cd28896b4a;01.02.000;Oriented Strand Board (Durchschnitt DE);Holz / Holzwerkstoffe / OSB-Platte;representative dataset;1;m3;c609779a-687f-416c-94af-1ccbc2cb4f43;OSB;;;600;;;;;true;true;false;true;50;
8ac8faaf-ca43-4d5c-80e6-2e45fb456d23;00.04.000;Eurolight beschichtet;Holz / Holzwerkstoffe / Spanplatten;specific dataset;1;m3;ae21ded8-3ae8-5cac-4445-700acd6daa0c;1 m² beschichtete Leichtbauplatte Additional Info from Xml: Melaminbeschichtete Leichtbauplatte mit Decklagen aus Dünnspanplatte und einer Kartonwaben-Mittellage Herstellung der Rohplatten (Decklage) 1. Rundholzzerspanung 2. Hackschnitzelaufbereitung 3. Restholzaufbereitung 4. Trocknung der Späne auf ca. 2-3 % Restfeuchte 5. Beleimung der Späne 6. Streuung der beleimten Späne auf ein Formband 7. Verpressen des Spänekuchens in einer kontinuierlich arbeitenden Kalander-Heißpresse 8. Schleifen der Ober- und Unterseite 9. Aufteilen und Besäumen des Plattenstranges zu Rohplattenformaten 10. Abstapelung zu Großstapeln Herstellung der Imprägnate 1. Abwicklung der Rohpapiere 2. Aufnahme von Imprägnierharz (MUF) in der Anlage 3. Trocknung des imprägnierten Papiers in beheizten Trocknern 4. Formatierung des endlosen Papiers mittels Querschneider 5. Abstapelung der formatierten Bögen auf Paletten Herstellung der beschichteten Spanplatten: 1. Legung der Imprägnate auf die Oberund Unterseite der Rohplatte 2. Verpressung der Platte in der Heißpresse mit verschieden strukturierten Pressblechen 3. Qualitätssortierung und Abstapelung Herstellung der Leichtbauplatten 1. Auftrennung der beiden verbundenen beschichteten Platten mittels Längskreissägen und Quertrennmesser 2. Beleimung der beiden Decklagen mit PURKlebstoffsystem 3. Expansion der Sechseckwabe im Durchlauftrockner 4. Verbindung der beleimten Decklage mit der Mittellage 5. Kalibrierung des Verbundelementes in einer kontinuierlichen Kalibrierpresse 6. Besäumen und setzen von Trennschnitten 7. Abstapelung und Verpackung der Platten Deklarierte Einheit: Die Deklaration bezieht sich auf die Herstellung voneinem Kubikmeter beschichteter Eurolight Platte.Unbeschichtete Eurolight Platten weisen eine mittlereDichte von 12,4 kg/m² und eine durchschnittliche Gesamtdicke von 42,6 mm auf. Der Durchschnitt wurde nach Produktionsmengen der einzelnen Dicken gewichtet.;;;254;;;;;true;true;false;true;50;
acc44187-3de9-462d-b332-4b1806e5897c;00.04.000;Eurolight roh;Holz / Holzwerkstoffe / Spanplatten;specific dataset;1;m3;2fd5620b-a381-74b7-aa50-c6154e638f6f;1 m² rohe Eurolight-Platte Additional Info from Xml: PUR-verleimte Leichtbauplatte aus Dünnspanplatte (Decklagen) und Sechseck-Kartonwabe (Mittellage) Herstellung der Rohplatten (Decklage) 1. Rundholzzerspanung 2. Hackschnitzelaufbereitung 3. Restholzaufbereitung 4. Trocknung der Späne auf ca. 2-3 % Restfeuchte 5. Beleimung der Späne 6. Streuung der beleimten Späne auf ein Formband 7. Verpressen des Spänekuchens in einer kontinuierlich arbeitenden Kalander-Heißpresse 8. Schleifen der Ober- und Unterseite 9. Aufteilen und Besäumen des Plattenstranges zu Rohplattenformaten 10. Abstapelung zu Großstapeln Herstellung der Leichtbauplatten 1. Auftrennung der beiden verbundenen rohen Platten mittels Längskreissägen und Quertrennmesser 2. Beleimung der beiden Decklagen mit PURKlebstoffsystem 3. Expansion der Sechseckwabe im Durchlauftrockner 4. Verbindung der beleimten Decklage mit der Mittellage 5. Kalibrierung des Verbundelementes in einer kontinuierlichen Kalibrierpresse 6. Besäumen und setzen von Trennschnitten 7. Abstapelung und Verpackung der Platten Deklarierte Einheit: Die Deklaration bezieht sich auf die Herstellung voneinem Quadratmeter roher Eurolight Platte.Rohe Eurolight Platten weisen ein mittleresFlächengewicht von 12 kg/m² und eine durchschnittliche Gesamtdicke von 44,5 mm auf. Der Durchschnitt wurde nach Produktionsmengen der einzelnen Dicken gewichtet.;;;254;;;;;true;true;false;true;50;
4d9588b6-1732-449f-932b-d0e24180d0c8;00.04.000;MDF (Roh);Holz / Holzwerkstoffe / Spanplatten;average dataset;1;m3;fb0df45a-6574-a7a9-18f5-73e88dda4ed4;1 m³ MDF Platte unbeschichtet Additional Info from Xml: Rohe MDF-Platten sind plattenförmige Werkstoffe gemäß /EN 622-5/ für den trockenen Möbel- und Innenausbau. Herstellung 1. Entrindung der Stämme 2. Zerspanung des Holzes zu Spänen 3. Kochen der Späne 4. Zerfaserung im Refiner 5. Trocknung der Fasern auf ca. 2-3 % Restfeuchte 6. Beleimung der Fasern mit Harzen 7. Streuung der beleimten Fasern auf ein Formband 8. Verpressen der Fasermatte in einer kontinuierlich arbeitenden Heißpresse 9. Aufteilen und Besäumen des Faserstranges zu Rohplattenformaten 10. Auskühlen der Rohplatten in Sternkühlwendern 11. Abstapelung zu Großstapeln 12. Nach Klimatisierungsphase Schleifen der Ober- und Unterseite Alle Werke, in denen EGGER MDF-Platten hergestellt werden, sind mit einem Qualitätsmanagementsystem nach /ISO 9001/ zertifiziert. Technische Daten: Technische Daten für EGGER MDF-ST E1CE Deklarierte Einheit: Die Deklaration bezieht sich auf die Herstellung von einem Kubikmeter unbeschichteter MDF Platte. Unbeschichtete MDF Platten weisen eine mittlere Dichte von 720 kg/m³ auf.;;;700;;;;0,0014;true;true;false;true;50;
