UUID;Name;Kategorie;Bezugsgroesse;Bezugseinheit;Referenzfluss-Name;Schuettdichte (kg/m3);Flaechengewicht (kg/m2);Rohdichte (kg/m3);Schichtdicke (m);Ergiebigkeit (m2);Laengengewicht (kg/m);Umrechungsfaktor auf 1kg;EstimatedThickness (kein genauer Wert!!);Ergänzt;Quelle;Anmerkungen;
859897ae-5ea2-4b55-9508-49297dd6ba6c;Parkettlack (Grundierung Holz, wasserverdünnt);Beschichtungen / Lacke und Lasuren / Parkettlack;1;kg;Parkettlack;;;1245;;;;;;Rohdichte;Ökobaudat Konfiguration;;
206deb33-2710-417d-9b92-aa70c7958334;Baumwolle konventionell;Dämmstoffe / Baumwolle / Baumwolle konventionell;1;kg;Baumwolle, Rohfaser (umfasst Körner und Fasern);;;40;;;;;;Rohdichte;Ökobaudat Konfiguration;;
061f0d5b-61f4-476d-9f2e-96f6a6df7786;Baumwolle ökologisch;Dämmstoffe / Baumwolle / Baumwolle ökologisch;1;kg;Baumwollfaser (entkörnt);;;40;;;;;;Rohdichte;Ökobaudat Konfiguration;;
880e05ea-55c6-4346-a3ea-5af0e5f299e2;PU-Dämmplatten aus Blockschaumstoff;Dämmstoffe / Polyurethan-Hartschaum (PU) / PU Blockschaum;1;qm;1 m² installierte PU-Dämmplatte aus Blockschaumstoff Additional Info from Xml: Polyurethan-Hartschaum (PU) ist ein geschlossenzelliger Schaumstoff, der als werkmäßig hergestellter Wärmedämmstoff in Form von Dämmplatten im Hochbau und für haus- und betriebstechnische Anlagen eingesetzt wird. Die Produktfamilie der Polyurethan-Dämmstoffe (PU) umfasst die Produktvarianten Polyurethan (PUR) und Polyisocyanurat (PIR) - siehe /EN 13165/ und /EN 14308/. PU-Dämmstoffe werden in Form von Blockschaum und als Dämmplatten mit flexiblen Deckschichten hergestellt. Diese Produktdeklaration bezieht sich auf PU-Dämmplatten ohne Deckschichten aus Blockschaumstoff. Polyurethan-Hartschaum entsteht durch chemische Reaktion von Methylendiphenyl-Diisocyanat (MDI, ca. 55-65 %) und Polyol (ca. 20-30 %) unter Zusatz von niedrig siedenden Treibmitteln (ca. 4-6 %). Diese Produktdeklaration bezieht sich auf Dämmplatten aus Blockschaumstoff, die mit dem Kohlenwasserstoff Pentan aufgeschäumt werden. Als Hilfsstoffe werden Wasser (ca. 0,5 %), Schaumstabilisatoren und Katalysatoren (ca. 3%) sowie Flammschutzmittel (chlorhaltige bzw. nicht chlorhaltige Phosphorsäureester, ca. 5–10 %) zugesetzt. Die Ökobilanz betrachtet folgende Module des Lebenszyklus: Rohstoffgewinnung und – bereitstellung (A1), Transporte der Rohstoffe (A2), Herstellung inklusive Verpackung (A3), Transport zur Baustelle (A4), Einbau ins Gebäude ( thermische Verwertung der Verschnitte und Verpackungsabfälle)-(A5), Transport zum End-of-Life (C2), Abfallbehandlung: Energie für Schredder (C3), thermische Verwertung in einer Müllverbrennungsanlage (MVA) - (C4), Nutzenpotenzial außerhalb der Systemgrenze aufgrund der Energiesubstitution in der MVA (D). Technische Daten: Zur Bestimmung der technischen Daten werden die Prüfmethoden gemäß /DIN EN 1316/, /DIN 13165/ und /DIN EN 14308/ verwendet. Deklarierte Einheit: Die deklarierte Einheit ist 1 m² installierte PU-Dämmplatte aus Blockschaumstoff und den folgenden Spezifikationen:;;;33;0,12;;;;;Schichtdicke;Aus der EPD: https://www.oekobaudat.de/OEKOBAU.DAT/resource/sources/650f46b2-fd2c-43c0-a93d-e9ac37f9eb58/PU-Daemmplatten_aus_Blockschaumstoff.pdf?version=00.01.000Deklariertes Produkt/deklarierte Einheit 1 m2 installierte PU-Dämmplatte aus Blockschaumstoff mit einer Dicke von 12 cm und einer Wärmeleitfähigkeit (WLS) von 0,026 W/(m·K);;
b29f31dc-bf1b-4214-98b4-fc2b52165a86;PU-Dämmplatten mit 50 µm Aluminium-Deckschicht;Dämmstoffe / Polyurethan-Hartschaum (PU) / PU mit Aluminium;1;qm;1 m² installierte PU-Dämmplatte mit 50 µm Aluminium-Deckschicht Additional Info from Xml: Polyurethan-Hartschaum (PU) ist ein geschlossenzelliger Schaumstoff, der als werkmäßig hergestellter Wärmedämmstoff in Form von Dämmplatten mit oder ohne Deckschichten im Hochbau und für haus- und betriebstechnische Anlagen eingesetzt wird. Die Produktfamilie der Polyurethan-Dämmstoffe (PU) umfasst die Produktvarianten Polyurethan (PUR) und Polyisocyanurat (PIR) - siehe /EN 13165/. PU-Dämmstoffe werden in Form von Blockschaum und als Dämmplatten mit flexiblen Deckschichten hergestellt. Diese Produktdeklaration bezieht sich auf mit beidseitig 50 μm alukaschierte PU-Dämmplatten. Polyurethan-Hartschaum entsteht durch chemische Reaktion von MDI (ca. 55-65 %) und Polyol (ca. 20-30 %) unter Zusatz von niedrig siedenden Treibmitteln (ca. 4-6%). Dämmplatten mit flexiblen Deckschichten werden ausschließlich mit dem Kohlenwasserstoff Pentan aufgeschäumt. Als Hilfsstoffe werden Wasser (ca. 0,2–0,4 %), Schaumstabilisatoren und Katalysatoren (ca. 2–3%) sowie Flammschutzmittel (ca. 3–5 %) zugesetzt. 50 μm Aluminium-Deckschichten bestehen aus lackierter Aluminium-Folie. Die Ökobilanz betrachtet folgende Punkte des Lebenszyklus: Rohstoffgewinnung und – bereitstellung (A1), Transporte der Rohstoffe (A2), Herstellung inklusive Verpackung (A3), Transport zur Baustelle (A4), Einbau ins Gebäude (Recycling bzw. thermische Verwertung der Verschnitte und Verpackungsabfälle)-(A5), Transport zum End-of-Life (C2), Abfallbehandlung: Energie für Schredder (C3), thermische Verwertung (PU Schaum) bzw. Recycling (Aluminium) - (C4), Recycling- bzw. Nutzenpotenzial außerhalb der Systemgrenze (D). Technische Daten: Zur Bestimmung der technischen Daten werden die Prüfmethoden gemäß / DIN EN 13165 / verwendet. Die Rohdichte von PU-Dämmplatten mit 50 µm Aluminium-Deckschichten für den Hochbau beträgt ca. 31 kg/m³. Die Platten werden in der Wärmeleitfähigkeitsstufe WLS 023 hergestellt. Diese Stufe entspricht dem Bemessungswert der Wärmeleitfähigkeit von 0,023  W/(m·K). Die Nenndruckspannung oder Nenndruckfestigkeit bei 10% Stauchung beträgt 100 kPa (dh) oder 150 kPa (ds) nach / DIN 4108-10 /. Höhere Druckfestigkeiten sind möglich. Die Nennzugfestigkeit beträgt 40 kPa. Höhere Zugfestigkeiten sind möglich. PU-Dämmplatten mit 50 µm Aluminium-Deckschichten sind für Wasserdampf undurchlässig und nehmen keine Feuchte auf. Polyurethan-Hartschaum besitzt ausgeprägt duroplastische Eigenschaften und ist daher nicht schmelzbar. Deklarierte Einheit: Die deklarierte Einheit ist 1 m² installierte PU-Dämmplatte mit 50µm Aluminium-Deckschicht (beidseitig) und den folgenden Spezifikationen:;;;31;0,12;;;;;Schichtdicke;Aus der EPD: 1 m2 installierte PU-Dämmplatte mit 50μm Aluminium-Deckschicht (beidseitig) und einer Dicke von 12 cm und einer Wärmeleitfähigkeit (WLS) von 0,023 W/(m·K);;
ee4fb7c2-6119-4f00-8cb6-fc74cb66fe9a;PU-Dämmplatten mit Aluminium-Mehrlagen-Deckschicht;Dämmstoffe / Polyurethan-Hartschaum (PU) / PU mit Aluminium;1;qm;1 m² installierte PU-Dämmplatte mit Aluminium-Mehrlagen-Deckschicht Additional Info from Xml: Polyurethan-Hartschaum (PU) ist ein geschlossenzelliger Schaumstoff, der als werkmäßig hergestellter Wärmedämmstoff in Form von Dämmplatten mit oder ohne Deckschichten im Hochbau und für haus- und betriebstechnische Anlagen eingesetzt wird. Die Produktfamilie der Polyurethan-Dämmstoffe (PU) umfasst die Produktvarianten Polyurethan (PUR) und Polyisocyanurat (PIR) - siehe /EN 13165/. PU-Dämmstoffe werden in Form von Blockschaum und als Dämmplatten mit flexiblen Deckschichten hergestellt. Diese Produktdeklaration bezieht sich auf beidseitig mit Aluminium-Mehrlagen-Folie kaschierten PU-Dämmplatten. Polyurethan-Hartschaum entsteht durch chemische Reaktion von MDI (ca. 55-65 %) und Polyol (ca. 20-30 %) unter Zusatz von niedrig siedenden Treibmitteln (ca. 4-6%). Dämmplatten mit flexiblen Deckschichten werden ausschließlich mit dem Kohlenwasserstoff Pentan aufgeschäumt. Als Hilfsstoffe werden Wasser (ca. 0,2–0,4 %), Schaumstabilisatoren und Katalysatoren (ca. 2–3%) sowie Flammschutzmittel (ca. 3–5 %) zugesetzt. Aluminium-Mehrlagen-Deckschichten bestehen zu etwa gleichen Teilen aus Aluminium, Papier und LDPE. Die Ökobilanz betrachtet folgende Punkte des Lebenszyklus: Rohstoffgewinnung und – bereitstellung (A1), Transporte der Rohstoffe (A2), Herstellung inklusive Verpackung (A3), Transport zur Baustelle (A4), Einbau ins Gebäude (Recycling bzw. thermische Verwertung der Verschnitte und Verpackungsabfälle)-(A5), Transport zum End-of-Life (C2), Abfallbehandlung: Energie für Schredder (C3), thermische Verwertung (PU Schaum) bzw. Recycling (Aluminium) - (C4), Recycling- bzw. Nutzenpotenzial außerhalb der Systemgrenze (D). Technische Daten: Zur Bestimmung der technischen Daten werden die Prüfmethoden gemäß /DIN EN 13165/ verwendet. Die Rohdichte von PU-Dämmplatten mit Aluminium-Mehrlagen-Deckschichten für den Hochbau beträgt ca. 31 kg/m³. Die Platten werden in der Wärmeleitfähigkeitsstufe WLS 023 hergestellt. Diese Stufe entspricht dem Bemessungswert der Wärmeleitfähigkeit von 0,023  W/(m·K). Die Nenndruckspannung oder Nenndruckfestigkeit bei 10% Stauchung beträgt 100 kPa (dh) oder 150 kPa (ds) nach /DIN 4108-10/. Höhere Druckfestigkeiten sind möglich. Die Nennzugfestigkeit beträgt 40 kPa. Höhere Zugfestigkeiten sind möglich.  PU-Dämmplatten mit Aluminium-Mehrlagen-Deckschichten sind für Wasserdampf undurchlässig und nehmen keine Feuchte auf. Polyurethan-Hartschaum besitzt ausgeprägt duroplastische Eigenschaften und ist daher nicht schmelzbar. Deklarierte Einheit: Die deklarierte Einheit ist 1 m² installierte PU-Dämmplatte mit Aluminium-Mehrlagen-Deckschicht (beidseitig) und den folgenden Spezifikationen:;;;31;0,12;;;;;Schichtdicke;Aus der EPD: Deklariertes Produkt/deklarierte Einheit 1 m2 installierte PU-Dämmplatte mit Aluminium-Mehrlagen-Deckschicht (beidseitig) und einer Dicke von 12 cm und einer Wärmeleitfähigkeit (WLS) von 0,023 W/(m·K);;
03998c02-90d1-41cd-9c68-83ffec88d125;PU-Dämmplatten mit Mineralvlies-Deckschicht;Dämmstoffe / Polyurethan-Hartschaum (PU) / PU mit Mineralvlies;1;qm;1 m² installierte PU-Dämmplatte mit Mineralvlies-Deckschicht Additional Info from Xml: Polyurethan-Hartschaum entsteht durch chemische Reaktion von MDI (ca. 55-65 %) und Polyol (ca. 20-30 %) unter Zusatz von niedrig siedenden Treibmitteln (ca. 4-6%). Dämmplatten mit flexiblen Deckschichten werden ausschließlich mit dem Kohlenwasserstoff Pentan aufgeschäumt. Als Hilfsstoffe werden Wasser (ca. 0,2–0,4 %), Schaumstabilisatoren und Katalysatoren (ca. 2–3%) sowie Flammschutzmittel (ca. 3–5 %) zugesetzt. Die Mineralvliesdeckschichten bestehen hauptsächlich aus Kalziumkarbonat, Glasfaservlies und Kleber auf Basis von Urea-Formaldehyd (UF) sowie Styrol-Butadien-Kautschuk (SBR). Die Ökobilanz betrachtet folgende Punkte des Lebenszyklus: Rohstoffgewinnung und – bereitstellung (A1), Transporte der Rohstoffe (A2), Herstellung inklusive Verpackung (A3), Transport zur Baustelle (A4), Einbau ins Gebäude (Recycling bzw. thermische Verwertung der Verschnitte und Verpackungsabfälle)-(A5), Transport zum End-of-Life (C2), Abfallbehandlung: Energie für Schredder (C3), thermische Verwertung (PU Schaum) - (C4), Recycling- bzw. Nutzenpotenzial außerhalb der Systemgrenze (D). Technische Daten: Zur Bestimmung der technischen Daten werden die Prüfmethoden gemäß / DIN EN 13165 / verwendet. Die Rohdichte von PU-Dämmplatten mit Mineralvlies-Deckschichten für den Hochbau beträgt ca. 31 kg/m³. Die Platten werden abhängig von den Dicken in den Wärmeleitfähigkeitsstufen WLS 026 bis 029 hergestellt. Diese Stufen entsprechen Bemessungswerten der Wärmeleitfähigkeit von 0,026 bis 0,029 W/(m·K). Kapillaraktiv modifizierte Dämmplatten weisen Bemessungswerte von 0,031 W/(m·K) auf. Die Nenndruckspannung oder Nenndruckfestigkeit bei 10% Stauchung beträgt 100 kPa (dh) oder 150 kPa (ds) nach / DIN 4108-10 /. Höhere Druckfestigkeiten sind möglich. Die Nennzugfestigkeit beträgt 40 kPa. Höhere Zugfestigkeiten sind möglich. Die Wasserdampfdiffusionswiderstandszahl μ von Polyurethan-Hartschaum liegt gemäß DIN 4108-4 zwischen 40 und 200. Die maximale Feuchteaufnahme von Polyurethan-Hartschaum bei Diffusion und Kondensation beträgt ca. 6 Vol-%. Die im Untertauchversuch nach 28 Tagen gemessene Wasseraufnahme liegt bei einer 60 mm dicken PU-Dämmplatte mit Mineralvlies-Kaschierung bei 1,3 Vol.-%. Die Feuchteaufnahme bei Frost-Tau-Wechsel ergeben – auf den Dämmstoff ohne Deckschicht bezogen – Werte zwischen 2 und 7 Vol.-%. Polyurethan-Hartschaum besitzt ausgeprägt duroplastische Eigenschaften und ist daher nicht schmelzbar. Deklarierte Einheit: Die deklarierte Einheit ist 1 m² installierte PU-Dämmplatte mit Mineralvlies-Deckschicht (beidseitig) und den folgenden Spezifikationen:;;;31;0,12;;;;;Schichtdicke;Aus der EPD: 1 m2 installierte PU-Dämmplatte mit Mineralvlies-Deckschicht (beidseitig) und einer Dicke von 12 cm und einer Wärmeleitfähigkeit (WLS) von 0,026 W/(m·K;;
279613ea-381d-414d-9d35-a7622c3d4bf9;WDVS mit EPS Dämmplatte geklebt;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;1;qm;1 m² WDVS, EPS geklebt, mit 160 mm Dämmstoffdicke, 13,8 kg/m²;;13,8;;0,16;;;72;;Schichtdicke;Referenzfluss-Name;;
8d6e3557-1c45-458e-a7cd-2964d6339c7e;WDVS mit EPS geklebt und gedübelt;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;1;qm;1 m² WDVS EPS geklebt und gedübelt, mit 160 mm Dämmstoffdicke, 14,1 kg/m²;;14,1;;0,16;;;71;;Schichtdicke;Referenzfluss-Name;;
cc522095-42b9-49ef-ae6e-2d39cd851513;WDVS mit Mineralfaser Dämmplatte geklebt und gedübelt;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;1;qm;1 m² WDVS Mineralwolle, geklebt und gedübelt, mit 160 mm Dämmstoffdicke, 30,6 kg/m²;;30,6;;0,16;;;33;;Schichtdicke;Referenzfluss-Name;;
3110be3a-bfc8-4c7b-96aa-b52cfe037f6d;WDVS mit Mineralfaser Lamellen- Dämmplatten geklebt;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;1;qm;1 m² WDVS Mineralwolle-Lamelle geklebt, mit 180 mm Dämmstoffdicke, 31,1 kg/m²;;31,1;;0,18;;;32;;Schichtdicke;Referenzfluss-Name;;
fa3a0f7d-842b-4161-a83e-04c690248185;WDVS mit Schienenbefestigung;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;1;qm;1 m² WDVS EPS mit Schiene, geklebt und gedübelt, mit 160 mm Dämmstoffdicke, 10,9 kg/m²;;10,9;;0,16;;;92;;Schichtdicke;Referenzfluss-Name;;
18e5028c-9327-4429-92da-eb90ee5d05cc;Glasarmierungsgitter;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;1;qm;1 m² Glasarmierungsgitter (Flächengewicht 160 g/m²) Additional Info from Xml: Glasarmierungsgitter sind flächige Gitterstrukturen aus in Längs- und Querrichtung angeordneten Glasfäden, die mit einer Schiebefestausrüstung auf Kunststoffbasis versehen werden. Die bei Vitrulan Technical Textiles GmbH produzierten Glasarmierungsgitter weisen je nach Artikel ein Flächengewicht von 50 bis 480 g/m2 auf. Dieser Datensatz bezieht sich auf ein typisches WDVS-Glasarmierungsgitter mit einem Flächengewicht von 160 g/m2. Glasarmierungsgitter finden Anwendung sowohl im Außenbereich für Wärmedämmverbundsysteme als auch im Innenbereich. Die Herstellung eines Glasarmierungsgitters erfolgt üblicherweise auf einer Webmaschine. Dabei werden die Fäden des sog. Kettbaumes in einer festgelegten Reihenfolge in Längsrichtung der Webmaschine zugeführt. Im Bereich des sog. Schusseintrags wird diese Fadenschar rechtwinklig mit mindestens einem weiteren Fadensystem (Querfäden) verkreuzt. Die so erzeugte Fläche (= Rohgewebe) wird in einem nachfolgenden Verarbeitungsschritt an einer Beschichtungsanlage mit Kunststoffdispersionen gecoated, anschließend getrocknet und chemisch vernetzt. Konfektionierung und Verpackung schließen den Herstellprozess ab. Technische Daten: Folgende Angaben beziehen sich auf ein typisches WDVS-Glasarmierungsgitter mit 160 g/m2 Flächengewicht. Deklarierte Einheit: Diese Ökobilanz bezieht sich auf 1 m² Glasarmierungsgitter mit einem Flächengewicht von 160 g/m². Es handelt sich hierbei um ein repräsentatives Produkt.;;0,16;;0,0005;;;6,25;;Schichtdicke;Aus der EPD2.5 Lieferzustand Glasarmierungsgitter werden wie folgt beschrieben: Flächengewicht [g/m²]: Ø160 Dicke [mm]: 0,5 Maschenöffnung [mm x mm]: 3,5 x 4,0 Rollenbreite [cm]: 50 – 320 Rollenlänge [m]: Standard 50;;
e5cd5727-a516-4081-8fdf-4fc0ce142d90;WDVS Verklebung und Beschichtung Kratzputz mineralisch;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;1;qm;WDVS Verklebung und Beschichtung Kratzputz mineralisch Bei dem WDVS handelt es sich um ein Außenwand-Dämmsystem. Das Dämmmaterial und das Wandmaterial sind nicht im Prozess berücksichtigt. Das System weist folgende Spezifikationen auf: Außenwand-Dämmsystem Mineralischer Kratzputz: Kleber (mineralisch) 4,0 kg/m2, Glasgewebe 0,18 kg/m2, Armierung (mineralisch) 8,0 kg/m2, Kratzputz (mineralisch) 23,0 kg/m2.;;35,18;;;;;;;Bestandteile ergänzt;Prozess-Datensatz;kann nur in m² genutzt werden;
94ef6ac0-956a-4d60-9062-990df91e7917;WDVS Verklebung und Beschichtung Silikat-Dispersionsputz;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;1;qm;WDVS Verklebung und Beschichtung Silikat-Dispersionsputz Bei dem WDVS handelt es sich um ein Außenwand-Dämmsystem. Das Dämmmaterial und das Wandmaterial sind nicht im Prozess berücksichtigt. Das System weist folgende Spezifikationen auf: Außenwand-Dämmsystem Silikatdispersionsputz: Kleber (mineralisch) 4,0 kg/m2, Glasfasergewebe 0,18 kg/m2, Armierung (mineralisch) 4,0 kg/m2, Voranstrich (Silikatdispersion) 0,3 kg/m2, Silikatdispersionsputz 4,0 kg/m2. ;;12,48;;;;;;;Bestandteile ergänzt;Prozess-Datensatz;kann nur in m² genutzt werden;
88cc57f7-384d-47a3-826a-e4fce57a32bd;WDVS Verklebung und Beschichtung Kunstharzputz;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;1;qm;WDVS Verklebung und Beschichtung Kunstharzputz Bei dem WDVS handelt es sich um ein Außenwand-Dämmsystem. Das Dämmmaterial und das Wandmaterial sind nicht im Prozess berücksichtigt. Das System weist folgende Spezifikationen auf: Außenwand-Dämmsystem Kunstharzputz: Kleber (mineralisch) 4,0 kg/m2, Glasfasergewebe 0,18 kg/m2, Kunstharzspachtel 4,0 kg/m2, Voranstrich (Kunstharz), Kunstharzputz 4,0 kg/m2.;;12,48;;;;;;;Bestandteile ergänzt;Prozess-Datensatz;kann nur in m² genutzt werden;
6108c144-5112-4f18-bcb1-d1ff8eb831a6;WDVS Verklebung und Beschichtung Leichtputz mineralisch;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;1;qm;WDVS Verklebung und Beschichtung Leichtputz mineralisch Bei dem WDVS handelt es sich um ein Außenwand-Dämmsystem. Das Dämmmaterial und das Wandmaterial sind nicht im Prozess berücksichtigt. Das System weist folgende Spezifikationen auf: Außenwand-Dämmsystem (Mineralischer Leichtputz Kalk-Zement: Kleber (mineralisch) 4,0 kg/m2, Glasfasergewebe 0,18 kg/m2, Armierung (leicht, mineralisch) 4,0 kg/m2, Leichtputz (Kalk-Zement) 3,0 kg/m2, Dispersionsfarbe 0,22 kg/m2. ;;11,4;;;;;;;Bestandteile ergänzt;Prozess-Datensatz;kann nur in m² genutzt werden;
49fe2b06-ea9c-4cef-b0a1-a75fd1ed6bf8;WDVS Verklebung und Beschichtung Dekorputz mineralisch;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;1;qm;WDVS Verklebung und Beschichtung Dekorputz mineralisch Bei dem WDVS handelt es sich um ein Außenwand-Dämmsystem. Das Dämmmaterial und das Wandmaterial sind nicht im Prozess berücksichtigt. Das System weist folgende Spezifikationen auf: Außenwand-Dämmsystem Mineralischer Dekorputz: Kleber (mineralisch) 4,0 kg/m2, Glasgewebe 0,18 kg/m2, Armierung (mineralisch) 8,0 kg/m2, Dekorputz (mineralisch) 5,0 kg/m2 und Dispersionsfarbe 0,22 kg/m2. ;;17,4;;;;;;;Bestandteile ergänzt;Prozess-Datensatz;kann nur in m² genutzt werden;
1b84e630-6489-493e-a066-1b976684dd03;WDVS Verklebung und Beschichtung Silikonharzputz;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;1;qm;WDVS Verklebung und Beschichtung Silikonharzputz Bei dem Wärmedämmverbundsystem (WDVS) handelt es sich um ein Außenwand-Dämmsystem. Das Dämmmaterial und das Wandmaterial sind nicht im Prozess berücksichtigt. Das System weist folgende Spezifikationen auf: Außenwand-Dämmsystem Silikonharzputz: Kleber (mineralisch) 4,0 kg/m2, Glasfasergewebe 0,18 kg/m2, Kunstharzspachtel 4,0 kg/m2, Voranstrich (Silikonharz) 0,3 kg/m2, Silikonharzputz 4,0 kg/m2;;12,3;;;;;;;Bestandteile ergänzt;Prozess-Datensatz;kann nur in m² genutzt werden;
6bb3b483-7640-42f0-ba34-f9b7efbf0dba;Mehrschichtparkett;Holz / Holzböden / Parkett;1;qm;1 m² Schichtparkett Additional Info from Xml: Zwei- und mehrschichtigen Parkettböden, Mehrschichtparkett. Mehrschichtige Parkettböden sind in Lagen aufgebaute Holzböden, die eine Deckschicht von mindestens 2,5 mm Dicke haben. Sie können 2-lagig mit Trägerplatte aus Vollholz oder Holzwerkstoffen und einer dekorativen Deckschicht, oder 3-lagig mit einer zusätzlichen Gegenzuglage ausgestattet sein. Mehrschichtparkette sind Holzbodenbeläge für die private und gewerbliche Nutzung im Innenbereich, die entweder auf Estrich, oder auf bestehenden anderen Unterböden wie Holz, Fliesen, PVC schwimmend verlegt oder verklebt oder mit sonstigen Befestigungsmitteln fixiert sind. Zur Herstellung von Mehrschichtparkett werden Rundhölzer, frische Schnitthölzer, kammergetrocknete Schnitthölzer oder Hobelware eingesetzt. Daneben kommen teilweise Sperrhölzer und HDF Platten zum Einsatz. Die Schichten werden zunächst getrennt hergestellt. Die Deckschicht wird aus Vollholzelementen zusammengesetzt. Die Mittellage kann aus Holzwerkstoffen oder massiven Einzelteilen bestehen. Im Falle des 3-lagigen Aufbaus wird ein Gegenzug genutzt. Die einzelnen Lagen werden nach Aufbringung von Klebstoffen zusammengepresst und aufgetrennt. Technische Daten: Folgende technische Daten für Mehrschichtparkette sind zu nennen: Deklarierte Einheit: Die deklarierte Einheit ist 1m² Schichtparkett bis zum Werkstor der Herstellung. Es wird ein durchschnittliches Produkt gemittelt aus mehreren Werken der Unternehmen des Verbandes deklariert.;;;;;;;;0,0175;EstimatedThickness;https://www.hausjournal.net/parkett-dicke;Dicke nur für U-Wert-Berechnung, daher abgeschätzt (zwischen 10 und 25 mm → Durchschnitt 17,5 mm);
