UUID;Name;Kategorie;Bezugsgroesse;Bezugseinheit;Referenzfluss-Name;Schuettdichte (kg/m3);Flaechengewicht (kg/m2);Rohdichte (kg/m3);Schichtdicke (m);Ergiebigkeit (m2);Laengengewicht (kg/m);Umrechungsfaktor auf 1kg;Ergänzt;Quelle;Anmerkungen
18e5028c-9327-4429-92da-eb90ee5d05cc;Glasarmierungsgitter;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;1;qm;1 m² Glasarmierungsgitter (Flächengewicht 160 g/m²) Additional Info from Xml: Glasarmierungsgitter sind flächige Gitterstrukturen aus in Längs- und Querrichtung angeordneten Glasfäden, die mit einer Schiebefestausrüstung auf Kunststoffbasis versehen werden. Die bei Vitrulan Technical Textiles GmbH produzierten Glasarmierungsgitter weisen je nach Artikel ein Flächengewicht von 50 bis 480 g/m2 auf. Dieser Datensatz bezieht sich auf ein typisches WDVS-Glasarmierungsgitter mit einem Flächengewicht von 160 g/m2. Glasarmierungsgitter finden Anwendung sowohl im Außenbereich für Wärmedämmverbundsysteme als auch im Innenbereich. Die Herstellung eines Glasarmierungsgitters erfolgt üblicherweise auf einer Webmaschine. Dabei werden die Fäden des sog. Kettbaumes in einer festgelegten Reihenfolge in Längsrichtung der Webmaschine zugeführt. Im Bereich des sog. Schusseintrags wird diese Fadenschar rechtwinklig mit mindestens einem weiteren Fadensystem (Querfäden) verkreuzt. Die so erzeugte Fläche (= Rohgewebe) wird in einem nachfolgenden Verarbeitungsschritt an einer Beschichtungsanlage mit Kunststoffdispersionen gecoated, anschließend getrocknet und chemisch vernetzt. Konfektionierung und Verpackung schließen den Herstellprozess ab. Technische Daten: Folgende Angaben beziehen sich auf ein typisches WDVS-Glasarmierungsgitter mit 160 g/m2 Flächengewicht. Deklarierte Einheit: Diese Ökobilanz bezieht sich auf 1 m² Glasarmierungsgitter mit einem Flächengewicht von 160 g/m². Es handelt sich hierbei um ein repräsentatives Produkt.;;0,16;;0,0005;;;6,25;Schichtdicke;Aus der EPD2.5 Lieferzustand Glasarmierungsgitter werden wie folgt beschrieben: Flächengewicht [g/m²]: Ø160 Dicke [mm]: 0,5 Maschenöffnung [mm x mm]: 3,5 x 4,0 Rollenbreite [cm]: 50 – 320 Rollenlänge [m]: Standard 50;
e5cd5727-a516-4081-8fdf-4fc0ce142d90;WDVS Verklebung und Beschichtung Kratzputz mineralisch;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;1;qm;WDVS Verklebung und Beschichtung Kratzputz mineralisch Bei dem WDVS handelt es sich um ein Außenwand-Dämmsystem. Das Dämmmaterial und das Wandmaterial sind nicht im Prozess berücksichtigt. Das System weist folgende Spezifikationen auf: Außenwand-Dämmsystem Mineralischer Kratzputz: Kleber (mineralisch) 4,0 kg/m2, Glasgewebe 0,18 kg/m2, Armierung (mineralisch) 8,0 kg/m2, Kratzputz (mineralisch) 23,0 kg/m2.;;35,18;;;;;;Bestandteile ergänzt;Prozess-Datensatz;kann nur in m² genutzt werden
94ef6ac0-956a-4d60-9062-990df91e7917;WDVS Verklebung und Beschichtung Silikat-Dispersionsputz;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;1;qm;WDVS Verklebung und Beschichtung Silikat-Dispersionsputz Bei dem WDVS handelt es sich um ein Außenwand-Dämmsystem. Das Dämmmaterial und das Wandmaterial sind nicht im Prozess berücksichtigt. Das System weist folgende Spezifikationen auf: Außenwand-Dämmsystem Silikatdispersionsputz: Kleber (mineralisch) 4,0 kg/m2, Glasfasergewebe 0,18 kg/m2, Armierung (mineralisch) 4,0 kg/m2, Voranstrich (Silikatdispersion) 0,3 kg/m2, Silikatdispersionsputz 4,0 kg/m2. ;;12,48;;;;;;Bestandteile ergänzt;Prozess-Datensatz;kann nur in m² genutzt werden
88cc57f7-384d-47a3-826a-e4fce57a32bd;WDVS Verklebung und Beschichtung Kunstharzputz;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;1;qm;WDVS Verklebung und Beschichtung Kunstharzputz Bei dem WDVS handelt es sich um ein Außenwand-Dämmsystem. Das Dämmmaterial und das Wandmaterial sind nicht im Prozess berücksichtigt. Das System weist folgende Spezifikationen auf: Außenwand-Dämmsystem Kunstharzputz: Kleber (mineralisch) 4,0 kg/m2, Glasfasergewebe 0,18 kg/m2, Kunstharzspachtel 4,0 kg/m2, Voranstrich (Kunstharz), Kunstharzputz 4,0 kg/m2.;;12,48;;;;;;Bestandteile ergänzt;Prozess-Datensatz;kann nur in m² genutzt werden
6108c144-5112-4f18-bcb1-d1ff8eb831a6;WDVS Verklebung und Beschichtung Leichtputz mineralisch;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;1;qm;WDVS Verklebung und Beschichtung Leichtputz mineralisch Bei dem WDVS handelt es sich um ein Außenwand-Dämmsystem. Das Dämmmaterial und das Wandmaterial sind nicht im Prozess berücksichtigt. Das System weist folgende Spezifikationen auf: Außenwand-Dämmsystem (Mineralischer Leichtputz Kalk-Zement: Kleber (mineralisch) 4,0 kg/m2, Glasfasergewebe 0,18 kg/m2, Armierung (leicht, mineralisch) 4,0 kg/m2, Leichtputz (Kalk-Zement) 3,0 kg/m2, Dispersionsfarbe 0,22 kg/m2. ;;11,4;;;;;;Bestandteile ergänzt;Prozess-Datensatz;kann nur in m² genutzt werden
49fe2b06-ea9c-4cef-b0a1-a75fd1ed6bf8;WDVS Verklebung und Beschichtung Dekorputz mineralisch;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;1;qm;WDVS Verklebung und Beschichtung Dekorputz mineralisch Bei dem WDVS handelt es sich um ein Außenwand-Dämmsystem. Das Dämmmaterial und das Wandmaterial sind nicht im Prozess berücksichtigt. Das System weist folgende Spezifikationen auf: Außenwand-Dämmsystem Mineralischer Dekorputz: Kleber (mineralisch) 4,0 kg/m2, Glasgewebe 0,18 kg/m2, Armierung (mineralisch) 8,0 kg/m2, Dekorputz (mineralisch) 5,0 kg/m2 und Dispersionsfarbe 0,22 kg/m2. ;;17,4;;;;;;Bestandteile ergänzt;Prozess-Datensatz;kann nur in m² genutzt werden
1b84e630-6489-493e-a066-1b976684dd03;WDVS Verklebung und Beschichtung Silikonharzputz;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;1;qm;WDVS Verklebung und Beschichtung Silikonharzputz Bei dem Wärmedämmverbundsystem (WDVS) handelt es sich um ein Außenwand-Dämmsystem. Das Dämmmaterial und das Wandmaterial sind nicht im Prozess berücksichtigt. Das System weist folgende Spezifikationen auf: Außenwand-Dämmsystem Silikonharzputz: Kleber (mineralisch) 4,0 kg/m2, Glasfasergewebe 0,18 kg/m2, Kunstharzspachtel 4,0 kg/m2, Voranstrich (Silikonharz) 0,3 kg/m2, Silikonharzputz 4,0 kg/m2;;12,3;;;;;;Bestandteile ergänzt;Prozess-Datensatz;kann nur in m² genutzt werden
e920d325-c474-4ff4-b84a-531af01c7759;Admonter Massivholzmehrschichtprodukte;Holz / Vollholz / Brettschichtholzplatte;1;qm;1 m² Massivholzmehrschichtprodukt Additional Info from Xml: Die vorliegende Umweltproduktdeklaration bezieht sich auf eine deklarierte Einheit von 1 m² Admonter Massivholzmehrschichtprodukte mit einem durchschnittlichen Flächengewicht von 8,125 kg/m² und einer Auslieferungsfeuchte von 7 %. Das deklarierte Produkt stellt einen flächengewichteten Durchschnitt der hergestellten Sortimente dar und bezieht sich auf das Produktionsjahr 2014. Bei Admonter Massivholzmehrschichtprodukten handelt es sich um Mehrschichtparkettböden und Mehrschichtmassivholzplatten mit Edelholznutzschicht, welche auf einem Trägermaterial aus vorwiegend Fichte kreuzweise verleimt werden. Mit Ausnahme 2- schichtiger Produkte haben die übrigen Produkte einen mehrschichtigen, symmetrischen Aufbau mit Massivholzgegenzug. Gliederung des Herstellprozesses: -Anlieferung des Schnittholzes, des Lamellenmaterials und des vorgefertigten Trägermaterials -Qualitätskontrolle -Trocknung des Schnittholzes, teilweise Trocknung der Lamellen -Teilweise Thermo-Behandlung des Rohmaterials -Auftrennen des Schnittholzes zu Lamellen oder Trägermaterial -Qualitätssortierung -Verleimung -Ausfertigung -Teilweises Besäumen zu Plattenformaten -Teilweise Auftrennen zu Kleinformaten -Teilweise Profilierung -Qualitätskontrolle -Teilweise Oberflächenstrukturierung -Teilweise Oberflächenbehandlung -Qualitätskontrolle -Verpackung je nach Produktart -Kommissionierung und Versand Für die Abbildung des Hintergrundsystems im Ökobilanzmodell werden Sekundärdaten herangezogen. Diese entstammen einerseits der GaBi Datenbank /GaBi 7/ und andererseits anerkannten Literaturquellen /Rüter und Diederichs, 2012/. Das UF-Leimsystem wurde anhand eines spezifischen Hintergrunddatensatzes des Zulieferers abgebildet. Kohlenstoffgehalt und Primärenergiegehalt der Produkte wurden basierend auf ihren materialinhärenten Eigenschaften entsprechend zugrundeliegenden physikalischen Zusammenhängen bilanziert. Bei der Produktion von Admonter Massivholzmehrschichtprodukten entsteht neben dem deklarierten Produkt ein Überschuss an thermischer Energie aus der werkseigenen KWK-Anlage, welcher an das Admonter Fernwärmenetz verkauft wird. Dieser Überschuss wird als Koppelprodukt behandelt und basierend auf den derzeit gültigen Marktpreisen alloziert. Die Allokation in der Forstkette beruht auf der Veröffentlichung von /Hasch 2002/ und dessen Aktualisierung von /Rüter und Albrecht 2007/. Für kammergetrocknete Bretter und Furniere wurde eine Preisallokation gemäß /Rüter und Diederichs, 2012/ angewandt. Technische Daten: Gemäß /EU-Verordnung Nr. 305/2011/ sind die in der Leistungserklärung aufgeführten Daten anzugeben, weitere Daten sind freiwilliger Natur.: Deklarierte Einheit: Die vorliegende Umweltproduktdeklaration bezieht sich auf eine deklarierte Einheit von 1 m² Admonter Massivholzmehrschichtprodukt mit einem durchschnittlichen Flächengewicht von 8,125 kg/m² und einer Auslieferungsfeuchte von 7 %.;;8125;;;;;123;Flächengewicht korrigiert;Aus der EPD:Die Produktdicken liegen zwischen 10mm und 42mm.PARKETTBODEN! → flooring → ok in m²;
de0c1710-057b-46ff-b6da-9fb26c113fa3;FW 50 BF.HI;Komponenten von Fenstern und Vorhangfassaden / Rahmen / Profile / Aluminium;6,1;qm;FW 50 BF.HI B x H: 3050 mm x 3050 mm Additional Info from Xml: Die oberflächenbehandelten Aluminiumprofile werden auf Maß geschnitten und für die entsprechende Rahmengröße konfektioniert. Der dabei entstehende Verschnitt an Aluminiumprofilen wird dem Recycling zugeführt. Die Isolationsprofile werden mit den Aluminiumprofilen fest verbunden. Anschließend werden die Profile am Baukörper zu Rahmen fest verbunden und die Dichtungen in die vorgesehenen Nuten eingezogen. Danach wird die Verglasung eingesetzt und mit Verglasungsprofilen gesichert. In die Fassadenrahmenkonstruktion können auch fertige Fensterlemente Schüco AWS eingebaut werden. Abschließend erfolgt eine Funktionskontrolle. Technische Daten: Gemäß CE-Kennzeichnung sind für Feld 1 folgende bautechnische Daten für das Element zu nennen: Deklarierte Einheit: Die deklarierte Einheit ist ein Fassadenelement mit der Größe 3050 mm x 3050 mm.;;;;;;;;Bezugsgröße und -einheit;Elementgröße 3,05 x 3,05m;"Diesen Datensatz kann man nur in m² nutzen; Verglasungsanteil unklar → complete curtain wall"
a287ee57-814f-4a5d-bccd-64b207385f47;FWS 50 SI;Komponenten von Fenstern und Vorhangfassaden / Rahmen / Profile / Aluminium;6,1;qm;Schüco FWS 50 B x H: 3050 mm x 3050 mm Additional Info from Xml: Die oberflächenbehandelten Aluminiumprofile werden auf Maß geschnitten und für die entsprechende Rahmengröße konfektioniert. Der dabei entstehende Verschnitt an Aluminiumprofilen wird dem Recycling zugeführt. Die Isolationsprofile werden mit den Aluminiumprofilen fest verbunden. Anschließend werden die Profile am Baukörper zu Rahmen fest verbunden und die Dichtungen in die vorgesehenen Nuten eingezogen. Danach wird die Verglasung eingesetzt und mit Verglasungsprofilen gesichert. In die Fassadenrahmenkonstruktion können auch fertige Fensterlemente Schüco AWS eingebaut werden. Abschließend erfolgt eine Funktionskontrolle. Technische Daten: Gemäß CE-Kennzeichnung sind für Feld 1 folgende bautechnische Daten für das Element zu nennen: Deklarierte Einheit: Die deklarierte Einheit ist ein Fassadenelement mit der Größe 3050 mm x 3050 mm.;;;;;;;;Bezugsgröße und -einheit;Elementgröße 3,05 x 3,05m;
