UUID;Version;Name;Kategorie;Typ;Bezugsgroesse;Bezugseinheit;Referenzfluss-UUID;Referenzfluss-Name;Schuettdichte (kg/m3);Flaechengewicht (kg/m2);Rohdichte (kg/m3);Schichtdicke (m);Ergiebigkeit (m2);Laengengewicht (kg/m);Umrechungsfaktor auf 1kg; A1-A3 existing; C3 existing; C4 existing; D existing;KG_3xx;Layer;Construction type;noch unsicher;verwendbar für frühe Planungsphasen;Anmerkungen / zusätzliche Eingrenzung;
afef8f9a-e598-41b8-8e90-33e7352c25a8;00.01.000;CLIMAFLEX® SPIRAL made of NMC NATUREFOAM®;Dämmstoffe / Polyethylen / Schaum;average dataset;1;m3;588bc1e0-9d15-48dc-03c0-2814249458c4;CLIMAFLEX®SPIRAL made of NMC NATUREFOAM®;;;30;;;;;true;false;true;false;400;;;;o;CLIMAFLEX® SPIRAL made of NMC NATUREFOAM® are used as self-supporting ventilation pipes for interior use in industrial installations and building equipment;
ab6a665e-1846-4ef0-88a8-8f4b2924f56a;00.02.000;CLIMAFLEX® aus NMC NATUREFOAM®;Dämmstoffe / Polyethylen / Schaum;average dataset;1;m3;c70cf5d7-28f9-3673-c385-4f88a144831f;CLIMAFLEX® /M3;;;28;;;;;true;false;true;false;400;;;;o;CLIMAFLEX® aus NMC NATUREFOAM® isoliert Rohrleitungen in betriebstechnischen Anlagen der Industrie und für die technische Gebäudeausrüstung. ;
a564fa56-4723-4123-bbbd-2a8780c8c899;00.03.000;CLIMAFLEX® STABIL / EXENTROFLEX® COMPACT aus NMC NATUREFOAM®;Dämmstoffe / Polyethylen / Schaum;average dataset;1;m3;bf874af3-1581-5f27-8651-6af6d424608f;CLIMAFLEX® STABIL / EXZENTROFLEX® COMPACT aus NMC NATUREFOAM®/M³;;;30,8;;;;;true;false;true;false;324, 353;insulation hard;;;x;CLIMAFLEX® STABIL aus NMC NATUREFOAM® wird für die Isolierung von Heizungs- und Sanitärrohren verwendet. EXZENTROFLEX® COMPACT aus NMC NATUREFOAM® wird auf Böden eingesetzt.;
b29f31dc-bf1b-4214-98b4-fc2b52165a86;00.08.000;PU-Dämmplatten mit 50 µm Aluminium-Deckschicht;Dämmstoffe / Polyurethan-Hartschaum (PU) / PU mit Aluminium;average dataset;1;m3;31890c98-0b7e-8476-a628-1b15e4e698c5;1 m² installierte PU-Dämmplatte mit 50 µm Aluminium-Deckschicht Additional Info from Xml: Polyurethan-Hartschaum (PU) ist ein geschlossenzelliger Schaumstoff, der als werkmäßig hergestellter Wärmedämmstoff in Form von Dämmplatten mit oder ohne Deckschichten im Hochbau und für haus- und betriebstechnische Anlagen eingesetzt wird. Die Produktfamilie der Polyurethan-Dämmstoffe (PU) umfasst die Produktvarianten Polyurethan (PUR) und Polyisocyanurat (PIR) - siehe /EN 13165/. PU-Dämmstoffe werden in Form von Blockschaum und als Dämmplatten mit flexiblen Deckschichten hergestellt. Diese Produktdeklaration bezieht sich auf mit beidseitig 50 μm alukaschierte PU-Dämmplatten. Polyurethan-Hartschaum entsteht durch chemische Reaktion von MDI (ca. 55-65 %) und Polyol (ca. 20-30 %) unter Zusatz von niedrig siedenden Treibmitteln (ca. 4-6%). Dämmplatten mit flexiblen Deckschichten werden ausschließlich mit dem Kohlenwasserstoff Pentan aufgeschäumt. Als Hilfsstoffe werden Wasser (ca. 0,2–0,4 %), Schaumstabilisatoren und Katalysatoren (ca. 2–3%) sowie Flammschutzmittel (ca. 3–5 %) zugesetzt. 50 μm Aluminium-Deckschichten bestehen aus lackierter Aluminium-Folie. Die Ökobilanz betrachtet folgende Punkte des Lebenszyklus: Rohstoffgewinnung und – bereitstellung (A1), Transporte der Rohstoffe (A2), Herstellung inklusive Verpackung (A3), Transport zur Baustelle (A4), Einbau ins Gebäude (Recycling bzw. thermische Verwertung der Verschnitte und Verpackungsabfälle)-(A5), Transport zum End-of-Life (C2), Abfallbehandlung: Energie für Schredder (C3), thermische Verwertung (PU Schaum) bzw. Recycling (Aluminium) - (C4), Recycling- bzw. Nutzenpotenzial außerhalb der Systemgrenze (D). Technische Daten: Zur Bestimmung der technischen Daten werden die Prüfmethoden gemäß / DIN EN 13165 / verwendet. Die Rohdichte von PU-Dämmplatten mit 50 µm Aluminium-Deckschichten für den Hochbau beträgt ca. 31 kg/m³. Die Platten werden in der Wärmeleitfähigkeitsstufe WLS 023 hergestellt. Diese Stufe entspricht dem Bemessungswert der Wärmeleitfähigkeit von 0,023  W/(m·K). Die Nenndruckspannung oder Nenndruckfestigkeit bei 10% Stauchung beträgt 100 kPa (dh) oder 150 kPa (ds) nach / DIN 4108-10 /. Höhere Druckfestigkeiten sind möglich. Die Nennzugfestigkeit beträgt 40 kPa. Höhere Zugfestigkeiten sind möglich. PU-Dämmplatten mit 50 µm Aluminium-Deckschichten sind für Wasserdampf undurchlässig und nehmen keine Feuchte auf. Polyurethan-Hartschaum besitzt ausgeprägt duroplastische Eigenschaften und ist daher nicht schmelzbar. Deklarierte Einheit: Die deklarierte Einheit ist 1 m² installierte PU-Dämmplatte mit 50µm Aluminium-Deckschicht (beidseitig) und den folgenden Spezifikationen:;;;31;0,12;;;;true;true;true;true;325, 335A, 363;insulation hard;;;x;;
ee4fb7c2-6119-4f00-8cb6-fc74cb66fe9a;00.08.000;PU-Dämmplatten mit Aluminium-Mehrlagen-Deckschicht;Dämmstoffe / Polyurethan-Hartschaum (PU) / PU mit Aluminium;average dataset;1;m3;ca804e95-445a-072d-d4aa-1a83fb856bdb;1 m² installierte PU-Dämmplatte mit Aluminium-Mehrlagen-Deckschicht Additional Info from Xml: Polyurethan-Hartschaum (PU) ist ein geschlossenzelliger Schaumstoff, der als werkmäßig hergestellter Wärmedämmstoff in Form von Dämmplatten mit oder ohne Deckschichten im Hochbau und für haus- und betriebstechnische Anlagen eingesetzt wird. Die Produktfamilie der Polyurethan-Dämmstoffe (PU) umfasst die Produktvarianten Polyurethan (PUR) und Polyisocyanurat (PIR) - siehe /EN 13165/. PU-Dämmstoffe werden in Form von Blockschaum und als Dämmplatten mit flexiblen Deckschichten hergestellt. Diese Produktdeklaration bezieht sich auf beidseitig mit Aluminium-Mehrlagen-Folie kaschierten PU-Dämmplatten. Polyurethan-Hartschaum entsteht durch chemische Reaktion von MDI (ca. 55-65 %) und Polyol (ca. 20-30 %) unter Zusatz von niedrig siedenden Treibmitteln (ca. 4-6%). Dämmplatten mit flexiblen Deckschichten werden ausschließlich mit dem Kohlenwasserstoff Pentan aufgeschäumt. Als Hilfsstoffe werden Wasser (ca. 0,2–0,4 %), Schaumstabilisatoren und Katalysatoren (ca. 2–3%) sowie Flammschutzmittel (ca. 3–5 %) zugesetzt. Aluminium-Mehrlagen-Deckschichten bestehen zu etwa gleichen Teilen aus Aluminium, Papier und LDPE. Die Ökobilanz betrachtet folgende Punkte des Lebenszyklus: Rohstoffgewinnung und – bereitstellung (A1), Transporte der Rohstoffe (A2), Herstellung inklusive Verpackung (A3), Transport zur Baustelle (A4), Einbau ins Gebäude (Recycling bzw. thermische Verwertung der Verschnitte und Verpackungsabfälle)-(A5), Transport zum End-of-Life (C2), Abfallbehandlung: Energie für Schredder (C3), thermische Verwertung (PU Schaum) bzw. Recycling (Aluminium) - (C4), Recycling- bzw. Nutzenpotenzial außerhalb der Systemgrenze (D). Technische Daten: Zur Bestimmung der technischen Daten werden die Prüfmethoden gemäß /DIN EN 13165/ verwendet. Die Rohdichte von PU-Dämmplatten mit Aluminium-Mehrlagen-Deckschichten für den Hochbau beträgt ca. 31 kg/m³. Die Platten werden in der Wärmeleitfähigkeitsstufe WLS 023 hergestellt. Diese Stufe entspricht dem Bemessungswert der Wärmeleitfähigkeit von 0,023  W/(m·K). Die Nenndruckspannung oder Nenndruckfestigkeit bei 10% Stauchung beträgt 100 kPa (dh) oder 150 kPa (ds) nach /DIN 4108-10/. Höhere Druckfestigkeiten sind möglich. Die Nennzugfestigkeit beträgt 40 kPa. Höhere Zugfestigkeiten sind möglich.  PU-Dämmplatten mit Aluminium-Mehrlagen-Deckschichten sind für Wasserdampf undurchlässig und nehmen keine Feuchte auf. Polyurethan-Hartschaum besitzt ausgeprägt duroplastische Eigenschaften und ist daher nicht schmelzbar. Deklarierte Einheit: Die deklarierte Einheit ist 1 m² installierte PU-Dämmplatte mit Aluminium-Mehrlagen-Deckschicht (beidseitig) und den folgenden Spezifikationen:;;;31;0,12;;;;true;true;true;true;325, 335A, 363;insulation hard;;;x;;
18e5028c-9327-4429-92da-eb90ee5d05cc;00.03.000;Glasarmierungsgitter;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;average dataset;1;qm;5b96d609-590c-3076-2707-2abf81c88e59;1 m² Glasarmierungsgitter (Flächengewicht 160 g/m²) Additional Info from Xml: Glasarmierungsgitter sind flächige Gitterstrukturen aus in Längs- und Querrichtung angeordneten Glasfäden, die mit einer Schiebefestausrüstung auf Kunststoffbasis versehen werden. Die bei Vitrulan Technical Textiles GmbH produzierten Glasarmierungsgitter weisen je nach Artikel ein Flächengewicht von 50 bis 480 g/m2 auf. Dieser Datensatz bezieht sich auf ein typisches WDVS-Glasarmierungsgitter mit einem Flächengewicht von 160 g/m2. Glasarmierungsgitter finden Anwendung sowohl im Außenbereich für Wärmedämmverbundsysteme als auch im Innenbereich. Die Herstellung eines Glasarmierungsgitters erfolgt üblicherweise auf einer Webmaschine. Dabei werden die Fäden des sog. Kettbaumes in einer festgelegten Reihenfolge in Längsrichtung der Webmaschine zugeführt. Im Bereich des sog. Schusseintrags wird diese Fadenschar rechtwinklig mit mindestens einem weiteren Fadensystem (Querfäden) verkreuzt. Die so erzeugte Fläche (= Rohgewebe) wird in einem nachfolgenden Verarbeitungsschritt an einer Beschichtungsanlage mit Kunststoffdispersionen gecoated, anschließend getrocknet und chemisch vernetzt. Konfektionierung und Verpackung schließen den Herstellprozess ab. Technische Daten: Folgende Angaben beziehen sich auf ein typisches WDVS-Glasarmierungsgitter mit 160 g/m2 Flächengewicht. Deklarierte Einheit: Diese Ökobilanz bezieht sich auf 1 m² Glasarmierungsgitter mit einem Flächengewicht von 160 g/m². Es handelt sich hierbei um ein repräsentatives Produkt.;;0,16;;0,0005;;;6,25;;;;;;;;;o;;
279613ea-381d-414d-9d35-a7622c3d4bf9;00.02.000;WDVS mit EPS Dämmplatte geklebt;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;average dataset;1;qm;5b40b521-c303-8cc9-6fac-34bd54f45a4c;1 m² WDVS, EPS geklebt, mit 160 mm Dämmstoffdicke, 13,8 kg/m² Additional Info from Xml: Die Herstellung des WDVS findet auf der Baustelle statt. Technische Daten: Je nach Produkt und Hersteller können die bautechnischen Daten abweichen, wobei der Leistungsbereich einzuhalten ist. Deklarierte Einheit: Die Deklaration bezieht sich auf die Herstellung und Entsorgung von 1 m² WDVS. Umrechnungsfaktoren sind der Tabelle zu entnehmen.;;13,8;;0,16;;;0,072;;;;;;;;;o;;
8d6e3557-1c45-458e-a7cd-2964d6339c7e;00.02.000;WDVS mit EPS geklebt und gedübelt;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;average dataset;1;qm;08221b9d-a35a-a89c-8974-8c3310f14307;1 m² WDVS EPS geklebt und gedübelt, mit 160 mm Dämmstoffdicke, 14,1 kg/m² Additional Info from Xml: Die Herstellung des WDVS findet auf der Baustelle statt. Technische Daten: Je nach Produkt und Hersteller können die bautechnischen Daten abweichen, der Leistungsbereich ist einzuhalten. Deklarierte Einheit: Die Deklaration bezieht sich auf die Herstellung und Entsorgung von 1 m² WDVS. Umrechnungsfaktoren sind der Tabelle zu entnehmen.;;14,1;;0,16;;;0,071;;;;;;;;;o;;
cc522095-42b9-49ef-ae6e-2d39cd851513;00.03.000;WDVS mit Mineralfaser Dämmplatte geklebt und gedübelt;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;average dataset;1;qm;e749cd0e-0f5a-2bae-a36c-11596471c6b4;1 m² WDVS Mineralwolle, geklebt und gedübelt, mit 160 mm Dämmstoffdicke, 30,6 kg/m² Additional Info from Xml: Die Herstellung des WDVS findet auf der Baustelle statt. Technische Daten: Je nach Produkt und Hersteller können die bautechnischen Daten abweichen, wobei der Leistungsbereich einzuhalten ist. Deklarierte Einheit: Die Deklaration bezieht sich auf die Herstellung und Entsorgung von 1 m² WDVS. Umrechnungsfaktoren sind der Tabelle zu entnehmen.;;30,6;;0,16;;;0,033;;;;;;;;;o;;
3110be3a-bfc8-4c7b-96aa-b52cfe037f6d;00.02.000;WDVS mit Mineralfaser Lamellen- Dämmplatten geklebt;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;average dataset;1;qm;7e072979-c126-1cb5-ffe1-cf8ab30b1092;1 m² WDVS Mineralwolle-Lamelle geklebt, mit 180 mm Dämmstoffdicke, 31,1 kg/m² Additional Info from Xml: Die Herstellung des WDVS findet auf der Baustelle statt. Technische Daten: Es gelten die in der Leistungserklärung übermittelten Angaben. Deklarierte Einheit: Die Deklaration bezieht sich auf die Herstellung und Entsorgung von 1 m² WDVS. Umrechnungsfaktoren sind der Tabelle zu entnehmen.;;31,1;;0,18;;;0,032;;;;;;;;;o;;
fa3a0f7d-842b-4161-a83e-04c690248185;00.02.000;WDVS mit Schienenbefestigung;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;average dataset;1;qm;4bb942bb-f661-4b82-e565-c7860f6774f3;1 m² WDVS EPS mit Schiene, geklebt und gedübelt, mit 160 mm Dämmstoffdicke, 10,9 kg/m² Additional Info from Xml: Die Herstellung des WDVS findet auf der Baustelle statt. Technische Daten: Je nach Produkt und Hersteller können die bautechnischen Daten abweichen, wobei der Leistungsbereich einzuhalten ist. Deklarierte Einheit: Die Deklaration bezieht sich auf die Herstellung und Entsorgung von 1 m² WDVS. Umrechnungsfaktoren sind der Tabelle zu entnehmen.;;10,9;;0,16;;;0,092;;;;;;;;;o;;
e5cd5727-a516-4081-8fdf-4fc0ce142d90;20.20.020;WDVS Verklebung und Beschichtung Kratzputz mineralisch;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;generic dataset;1;qm;f5c84fb0-e0af-44c3-8013-240c39cb07e6;WDVS Verklebung und Beschichtung Kratzputz mineralisch;;35,18;;;;;;;;;;335B;EIFS;;;x;;
94ef6ac0-956a-4d60-9062-990df91e7917;20.20.020;WDVS Verklebung und Beschichtung Silikat-Dispersionsputz;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;generic dataset;1;qm;ea5f4834-53b5-4796-ada4-d24ed86316b3;WDVS Verklebung und Beschichtung Silikat-Dispersionsputz;;12,48;;;;;;;;;;335B;EIFS;;;x;;
88cc57f7-384d-47a3-826a-e4fce57a32bd;20.20.020;WDVS Verklebung und Beschichtung Kunstharzputz;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;generic dataset;1;qm;07b8fd2e-94cf-419e-a2f7-a97c4ec8b900;WDVS Verklebung und Beschichtung Kunstharzputz;;12,48;;;;;;;;;;335B;EIFS;;;x;;
6108c144-5112-4f18-bcb1-d1ff8eb831a6;20.20.020;WDVS Verklebung und Beschichtung Leichtputz mineralisch;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;generic dataset;1;qm;12cea679-672c-4ba8-a265-c51cb4b7c799;WDVS Verklebung und Beschichtung Leichtputz mineralisch;;11,4;;;;;;;;;;335B;EIFS;;;x;;
